,ibns_20u,vgs_m1,name,type,time,OK
0,21.21338,0.6887767,tran_SchGtKttmmTtVt_29,Sch,Wed Jan 15 20:30:12 2025,True
1,20.8129,0.6880843,tran_SchGtKttmmTtVt_28,Sch,Wed Jan 15 20:30:11 2025,True
2,20.57356,0.6849518,tran_SchGtKttmmTtVt_27,Sch,Wed Jan 15 20:30:11 2025,True
3,21.183300000000003,0.6853562,tran_SchGtKttmmTtVt_26,Sch,Wed Jan 15 20:30:11 2025,True
4,20.33061,0.6871997,tran_SchGtKttmmTtVt_25,Sch,Wed Jan 15 20:30:11 2025,True
5,20.88445,0.6853195,tran_SchGtKttmmTtVt_24,Sch,Wed Jan 15 20:30:11 2025,True
6,20.3249,0.6849401,tran_SchGtKttmmTtVt_23,Sch,Wed Jan 15 20:30:11 2025,True
7,20.18872,0.6849899,tran_SchGtKttmmTtVt_22,Sch,Wed Jan 15 20:30:10 2025,True
8,21.138360000000002,0.6859547,tran_SchGtKttmmTtVt_21,Sch,Wed Jan 15 20:30:10 2025,True
9,20.90717,0.6860991,tran_SchGtKttmmTtVt_20,Sch,Wed Jan 15 20:30:10 2025,True
10,21.44531,0.6899991,tran_SchGtKttmmTtVt_19,Sch,Wed Jan 15 20:30:10 2025,True
11,21.1929,0.6881817,tran_SchGtKttmmTtVt_18,Sch,Wed Jan 15 20:30:10 2025,True
12,21.59531,0.6887759,tran_SchGtKttmmTtVt_17,Sch,Wed Jan 15 20:30:10 2025,True
13,21.07856,0.6874705,tran_SchGtKttmmTtVt_16,Sch,Wed Jan 15 20:30:09 2025,True
14,19.7625,0.6843183,tran_SchGtKttmmTtVt_15,Sch,Wed Jan 15 20:30:09 2025,True
15,21.87667,0.6879923,tran_SchGtKttmmTtVt_14,Sch,Wed Jan 15 20:30:09 2025,True
16,22.60663,0.6912936,tran_SchGtKttmmTtVt_13,Sch,Wed Jan 15 20:30:09 2025,True
17,20.33541,0.6841083,tran_SchGtKttmmTtVt_12,Sch,Wed Jan 15 20:30:09 2025,True
18,21.56167,0.6881923,tran_SchGtKttmmTtVt_11,Sch,Wed Jan 15 20:30:09 2025,True
19,20.47055,0.684317,tran_SchGtKttmmTtVt_10,Sch,Wed Jan 15 20:30:08 2025,True
20,20.097150000000003,0.6871305,tran_SchGtKttmmTtVt_9,Sch,Wed Jan 15 20:30:08 2025,True
21,20.66295,0.6863056,tran_SchGtKttmmTtVt_8,Sch,Wed Jan 15 20:30:08 2025,True
22,20.16792,0.6849294,tran_SchGtKttmmTtVt_7,Sch,Wed Jan 15 20:30:08 2025,True
23,21.351139999999997,0.6896184,tran_SchGtKttmmTtVt_6,Sch,Wed Jan 15 20:30:08 2025,True
24,19.91574,0.6836687,tran_SchGtKttmmTtVt_5,Sch,Wed Jan 15 20:30:08 2025,True
25,19.93156,0.6810137,tran_SchGtKttmmTtVt_4,Sch,Wed Jan 15 20:30:07 2025,True
26,20.95934,0.6862877,tran_SchGtKttmmTtVt_3,Sch,Wed Jan 15 20:30:07 2025,True
27,20.16583,0.6855798,tran_SchGtKttmmTtVt_2,Sch,Wed Jan 15 20:30:07 2025,True
28,20.87436,0.6847709,tran_SchGtKttmmTtVt_1,Sch,Wed Jan 15 20:30:07 2025,True
29,20.37521,0.6851951,tran_SchGtKttmmTtVt,Sch,Wed Jan 15 20:30:07 2025,True
